ENSMUSG00000051951	Xkr4
ENSMUSG00000054412	Gm4793
ENSMUSG00000090399	Nav1
ENSMUSG00000026421	Csrp1
ENSMUSG00000041801	Phlda3
ENSMUSG00000026418	Tnni1
ENSMUSG00000041782	Lad1
ENSMUSG00000026414	Tnnt2
ENSMUSG00000026413	Pkp1
ENSMUSG00000051985	Igfn1
ENSMUSG00000026411	Tmem9
ENSMUSG00000097918	Ascl5
ENSMUSG00000026407	Cacna1s
ENSMUSG00000041642	Kif21b
ENSMUSG00000087230	Mroh3
ENSMUSG00000041605	5730559C18Rik
ENSMUSG00000052759	Gpr25
ENSMUSG00000041570	Camsap2
ENSMUSG00000026404	Ddx59
ENSMUSG00000041498	Kif14
ENSMUSG00000041483	Zfp281
ENSMUSG00000026398	Nr5a2
ENSMUSG00000051480	A130050O07Rik
ENSMUSG00000026395	Ptprc
ENSMUSG00000026394	Atp6v1g3
ENSMUSG00000026393	Nek7
ENSMUSG00000019230	Lhx9
ENSMUSG00000079283	2310009B15Rik
ENSMUSG00000056268	Dennd1b
ENSMUSG00000063681	Crb1
ENSMUSG00000033964	Zbtb41
ENSMUSG00000033952	Aspm
ENSMUSG00000026368	F13b
ENSMUSG00000057037	Cfhr1
ENSMUSG00000090623	Cfhr3
ENSMUSG00000070594	Gm4788
ENSMUSG00000033898	Cfhr2
ENSMUSG00000026365	Cfh
ENSMUSG00000052726	Kcnt2
ENSMUSG00000095238	Gm4845
ENSMUSG00000026361	Cdc73
ENSMUSG00000078284	Cdc73
ENSMUSG00000033849	B3galt2
ENSMUSG00000018196	Glrx2
ENSMUSG00000018199	Trove2
ENSMUSG00000018189	Uchl5
ENSMUSG00000026360	Rgs2
ENSMUSG00000051079	Rgs13
ENSMUSG00000026358	Rgs1
ENSMUSG00000098509	Rgs21
ENSMUSG00000026357	Rgs18
ENSMUSG00000090323	Gm5263
ENSMUSG00000035131	Brinp3
ENSMUSG00000053988	Gm9931
ENSMUSG00000056220	Pla2g4a
ENSMUSG00000032487	Ptgs2
ENSMUSG00000006007	Pdc
ENSMUSG00000006010	BC003331
ENSMUSG00000006005	Tpr
ENSMUSG00000006014	Prg4
ENSMUSG00000066842	Hmcn1
ENSMUSG00000023150	Ivns1abp
ENSMUSG00000052748	Swt1
ENSMUSG00000053286	Trmt1l
ENSMUSG00000026484	Rnf2
ENSMUSG00000026483	Fam129a
ENSMUSG00000043019	Edem3
ENSMUSG00000032666	1700025G04Rik
ENSMUSG00000014980	Tsen15
ENSMUSG00000032649	Colgalt2
ENSMUSG00000026482	Rgl1
ENSMUSG00000055547	Apobec4
ENSMUSG00000008475	Arpc5
ENSMUSG00000026480	Ncf2
ENSMUSG00000042772	Smg7
ENSMUSG00000042751	Nmnat2
ENSMUSG00000026479	Lamc2
ENSMUSG00000026478	Lamc1
ENSMUSG00000073538	E330020D12Rik
ENSMUSG00000042708	Shcbp1l
ENSMUSG00000042699	Dhx9
ENSMUSG00000042684	Npl
ENSMUSG00000042671	Rgs8
ENSMUSG00000026475	Rgs16
ENSMUSG00000066800	Rnasel
ENSMUSG00000042641	Rgsl1
ENSMUSG00000045968	5830403L16Rik
ENSMUSG00000043282	Gm5531
ENSMUSG00000047053	Teddm1
ENSMUSG00000026473	Glul
ENSMUSG00000078493	A930039A15Rik
ENSMUSG00000066797	Zfp648
ENSMUSG00000004110	Cacna1e
ENSMUSG00000056708	Ier5
ENSMUSG00000026471	Mr1
ENSMUSG00000026470	Stx6
ENSMUSG00000033722	BC034090
ENSMUSG00000026469	Xpr1
ENSMUSG00000033701	Acbd6
ENSMUSG00000026468	Lhx4
ENSMUSG00000033684	Qsox1
ENSMUSG00000033671	Cep350
ENSMUSG00000026466	Tor1aip1
ENSMUSG00000050565	Tor1aip2
ENSMUSG00000015484	Fam163a
ENSMUSG00000060985	Tdrd5
ENSMUSG00000026602	Nphs2
ENSMUSG00000026601	Axdnd1
ENSMUSG00000078193	Gm2000
ENSMUSG00000026600	Soat1
ENSMUSG00000026596	Abl2
ENSMUSG00000060519	Tor3a
ENSMUSG00000033557	Fam20b
ENSMUSG00000026594	Ralgps2
ENSMUSG00000033544	Angptl1
ENSMUSG00000026592	Tex35
ENSMUSG00000070565	Rasal2
ENSMUSG00000049881	2810025M15Rik
ENSMUSG00000033488	BC026585
ENSMUSG00000026589	Sec16b
ENSMUSG00000004031	Brinp2
ENSMUSG00000026587	Astn1
ENSMUSG00000073530	Pappa2
ENSMUSG00000047661	1600012P17Rik
ENSMUSG00000061992	Gm4953
ENSMUSG00000040782	Rfwd2
ENSMUSG00000073528	Gm10530
ENSMUSG00000015829	Tnr
ENSMUSG00000090394	4930523C07Rik
ENSMUSG00000050883	4930523C07Rik
ENSMUSG00000026729	4930562F07Rik
ENSMUSG00000026725	Tnn
ENSMUSG00000058267	Mrps14
ENSMUSG00000014226	Cacybp
ENSMUSG00000026721	Rabgap1l
ENSMUSG00000040423	Rc3h1
ENSMUSG00000026715	Serpinc1
ENSMUSG00000043467	Zbtb37
ENSMUSG00000026709	Dars2
ENSMUSG00000026708	Cenpl
ENSMUSG00000026705	Klhl20
ENSMUSG00000044835	Ankrd45
ENSMUSG00000026701	Prdx6
ENSMUSG00000026700	Tnfsf4
ENSMUSG00000066755	Tnfsf18
ENSMUSG00000000817	Fasl
ENSMUSG00000040297	Suco
ENSMUSG00000086277	4930558K02Rik
ENSMUSG00000026698	Pigc
ENSMUSG00000040265	Dnm3
ENSMUSG00000066752	Gm10176
ENSMUSG00000026694	Mettl13
ENSMUSG00000026696	Vamp4
ENSMUSG00000026697	Myoc
ENSMUSG00000091060	7420461P10Rik
ENSMUSG00000040225	Prrc2c
ENSMUSG00000026692	Fmo4
ENSMUSG00000040181	Fmo1
ENSMUSG00000040170	Fmo2
ENSMUSG00000095576	Fmo6
ENSMUSG00000026691	Fmo3
ENSMUSG00000071890	Mroh9
ENSMUSG00000026586	Prrx1
ENSMUSG00000040124	Gorab
ENSMUSG00000040113	Mettl11b
ENSMUSG00000026585	Kifap3
ENSMUSG00000026584	Scyl3
ENSMUSG00000041406	BC055324
ENSMUSG00000041396	Mettl18
ENSMUSG00000026582	Sele
ENSMUSG00000026581	Sell
ENSMUSG00000026580	Selp
ENSMUSG00000026579	F5
ENSMUSG00000040918	Slc19a2
ENSMUSG00000026578	Ccdc181
ENSMUSG00000026577	Blzf1
ENSMUSG00000026575	Nme7
ENSMUSG00000026576	Atp1b1
ENSMUSG00000026574	Dpt
ENSMUSG00000026573	Xcl1
ENSMUSG00000026572	Tbx19
ENSMUSG00000040848	Sft2d2
ENSMUSG00000040843	Tiprl
ENSMUSG00000040836	Gpr161
ENSMUSG00000026571	Dcaf6
ENSMUSG00000026568	Mpc2
ENSMUSG00000026567	Adcy10
ENSMUSG00000026566	Mpzl1
ENSMUSG00000040723	Rcsd1
ENSMUSG00000040713	Creg1
ENSMUSG00000005763	Cd247
ENSMUSG00000026565	Pou2f1
ENSMUSG00000026564	Dusp27
ENSMUSG00000000544	Gpa33
ENSMUSG00000040629	Mael
ENSMUSG00000040612	Ildr2
ENSMUSG00000091393	5330438I03Rik
ENSMUSG00000026563	Tada1
ENSMUSG00000040596	Pogk
ENSMUSG00000086056	Gm4846
ENSMUSG00000051081	Gm4847
ENSMUSG00000026560	Fmo9
ENSMUSG00000060568	Fam78b
ENSMUSG00000053664	Uck2
ENSMUSG00000026558	Uck2
ENSMUSG00000052428	Tmco1
ENSMUSG00000026687	Aldh9a1
ENSMUSG00000026688	Mgst3
ENSMUSG00000040485	Lrrc52
ENSMUSG00000015843	Rxrg
ENSMUSG00000026686	Lmx1a
ENSMUSG00000052534	Pbx1
ENSMUSG00000026683	Nuf2
ENSMUSG00000026678	Rgs5
ENSMUSG00000038530	Rgs4
ENSMUSG00000070532	1700084C01Rik
ENSMUSG00000026675	Hsd17b7
ENSMUSG00000026674	Ddr2
ENSMUSG00000026670	Uap1
ENSMUSG00000026667	Uhmk1
ENSMUSG00000044306	4930500M09Rik
ENSMUSG00000073494	Sh2d1b2
ENSMUSG00000096334	Sh2d1b1
ENSMUSG00000096603	Gm7694
ENSMUSG00000038473	Nos1ap
ENSMUSG00000042800	1700015E13Rik
ENSMUSG00000038463	Olfml2b
ENSMUSG00000026663	Atf6
ENSMUSG00000026659	Dusp12
ENSMUSG00000096968	Gm26620
ENSMUSG00000070524	Fcrlb
ENSMUSG00000038421	Fcrla
ENSMUSG00000026656	Fcgr2b
ENSMUSG00000059089	Fcgr4
ENSMUSG00000059498	Fcgr3
ENSMUSG00000026649	1700009P17Rik
ENSMUSG00000058076	Sdhc
ENSMUSG00000056569	Mpz
ENSMUSG00000038370	Pcp4l1
ENSMUSG00000005677	Nr1i3
ENSMUSG00000005674	Tomm40l
ENSMUSG00000005681	Apoa2
ENSMUSG00000058715	Fcer1g
ENSMUSG00000013593	Ndufs2
ENSMUSG00000006403	Adamts4
ENSMUSG00000052423	B4galt3
ENSMUSG00000062729	Ppox
ENSMUSG00000053483	Usp21
ENSMUSG00000062963	Ufc1
ENSMUSG00000013973	Dedd
ENSMUSG00000013997	Nit1
ENSMUSG00000006412	Pfdn2
ENSMUSG00000045259	Klhdc9
ENSMUSG00000006411	Pvrl4
ENSMUSG00000048865	Arhgap30
ENSMUSG00000026641	Usf1
ENSMUSG00000091166	Tstd1
ENSMUSG00000038235	F11r
ENSMUSG00000060244	Alyref2
ENSMUSG00000038218	Gm9765
ENSMUSG00000038209	Itln1
ENSMUSG00000004709	Cd244
ENSMUSG00000004707	Ly9
ENSMUSG00000038179	Slamf7
ENSMUSG00000015355	Cd48
ENSMUSG00000015316	Slamf1
ENSMUSG00000038147	Cd84
ENSMUSG00000073492	Gm10521
ENSMUSG00000015314	Slamf6
ENSMUSG00000026556	Vangl2
ENSMUSG00000051251	Nhlh1
ENSMUSG00000003458	Ncstn
ENSMUSG00000026553	Copa
ENSMUSG00000003464	Pex19
ENSMUSG00000026554	Dcaf8
ENSMUSG00000013698	Pea15a
ENSMUSG00000007122	Casq1
ENSMUSG00000007107	Atp1a4
ENSMUSG00000038034	Igsf8
ENSMUSG00000007097	Atp1a2
ENSMUSG00000038026	Kcnj9
ENSMUSG00000044708	Kcnj10
ENSMUSG00000050229	Pigm
ENSMUSG00000026548	Slamf9
ENSMUSG00000037995	Igsf9
ENSMUSG00000026547	Tagln2
ENSMUSG00000026546	Ccdc19
ENSMUSG00000049598	Vsig8
ENSMUSG00000053318	Slamf8
ENSMUSG00000070504	Fcrl6
ENSMUSG00000026544	Dusp23
ENSMUSG00000037942	Crp
ENSMUSG00000026542	Apcs
ENSMUSG00000037924	Olfr16
ENSMUSG00000062527	Olfr1408
ENSMUSG00000058981	Olfr1406
ENSMUSG00000046643	Olfr218
ENSMUSG00000049456	Olfr1404
ENSMUSG00000005339	Fcer1a
ENSMUSG00000049605	Olfr418-ps1
ENSMUSG00000079180	Mptx2
ENSMUSG00000037872	Darc
ENSMUSG00000005338	Cadm3
ENSMUSG00000037860	Aim2
ENSMUSG00000037849	Gm4955
ENSMUSG00000070501	BC094916
ENSMUSG00000073491	Pydc4
ENSMUSG00000043263	Pyhin1
ENSMUSG00000066677	Pydc3
ENSMUSG00000073490	AI607873
ENSMUSG00000073489	Ifi204
ENSMUSG00000090272	Mndal
ENSMUSG00000026536	Mnda
ENSMUSG00000039997	Ifi203
ENSMUSG00000026535	Ifi202b
ENSMUSG00000054203	Ifi205
ENSMUSG00000045381	Olfr433
ENSMUSG00000047048	Olfr432
ENSMUSG00000050134	Olfr430
ENSMUSG00000049528	Olfr429
ENSMUSG00000059371	Olfr427
ENSMUSG00000046486	Olfr231
ENSMUSG00000051528	Olfr424
ENSMUSG00000055033	Olfr420
ENSMUSG00000026532	Spta1
ENSMUSG00000050788	Olfr419
ENSMUSG00000026531	Mptx1
ENSMUSG00000066672	Olfr417
ENSMUSG00000059503	Olfr248
ENSMUSG00000051509	Olfr414
ENSMUSG00000066671	Olfr220
ENSMUSG00000028354	Fmn2
ENSMUSG00000050069	Grem2
ENSMUSG00000026527	Rgs7
ENSMUSG00000026526	Fh1
ENSMUSG00000039783	Kmo
ENSMUSG00000026525	Opn3
ENSMUSG00000078185	Chml
ENSMUSG00000026523	Wdr64
ENSMUSG00000039748	Exo1
ENSMUSG00000055214	Pld5
ENSMUSG00000078184	B020018G12Rik
ENSMUSG00000057335	Cep170
ENSMUSG00000026504	Sdccag8
ENSMUSG00000019699	Akt3
ENSMUSG00000063659	Zbtb18
ENSMUSG00000015962	1700016C15Rik
ENSMUSG00000015961	Adss
ENSMUSG00000091476	Gm16432
ENSMUSG00000026502	Desi2
ENSMUSG00000055831	Gm9982
ENSMUSG00000026500	Cox20
ENSMUSG00000039630	Hnrnpu
ENSMUSG00000026495	Efcab2
ENSMUSG00000026494	Kif26b
ENSMUSG00000055067	Smyd3
ENSMUSG00000026492	Tfb2m
ENSMUSG00000038949	Cnst
ENSMUSG00000038936	Sccpdh
ENSMUSG00000087236	Gm1305
ENSMUSG00000026491	Ahctf1
ENSMUSG00000073486	Gm10518
ENSMUSG00000026490	Cdc42bpa
ENSMUSG00000026489	Adck3
ENSMUSG00000010609	Psen2
ENSMUSG00000055676	Gm5069
ENSMUSG00000038855	Itpkb
ENSMUSG00000053963	6330403A02Rik
ENSMUSG00000026496	Parp1
ENSMUSG00000058729	Lin9
ENSMUSG00000026497	Mixl1
ENSMUSG00000026499	Acbd3
ENSMUSG00000060743	H3f3a
ENSMUSG00000038806	Sde2
ENSMUSG00000066652	Lefty2
ENSMUSG00000026520	Pycr2
ENSMUSG00000038793	Lefty1
ENSMUSG00000026519	Tmem63a
ENSMUSG00000038776	Ephx1
ENSMUSG00000038768	9130409I23Rik
ENSMUSG00000026516	Nvl
ENSMUSG00000062169	Cnih4
ENSMUSG00000038733	Wdr26
ENSMUSG00000026514	Cnih3
ENSMUSG00000050625	Ccdc121
ENSMUSG00000047369	Dnah14
ENSMUSG00000004880	Lbr
ENSMUSG00000022995	Enah
ENSMUSG00000026511	Srp9
ENSMUSG00000091013	Vmn1r1
ENSMUSG00000038633	Degs1
ENSMUSG00000047539	Fbxo28
ENSMUSG00000073482	Gm10517
ENSMUSG00000026510	Trp53bp2
ENSMUSG00000026509	Capn2
ENSMUSG00000038599	Capn8
ENSMUSG00000043429	4922505E12Rik
ENSMUSG00000038576	Susd4
ENSMUSG00000079164	Tlr5
ENSMUSG00000030768	Disp1
ENSMUSG00000046836	Brox
ENSMUSG00000042901	Aida
ENSMUSG00000056050	Mia3
ENSMUSG00000072258	Taf1a
ENSMUSG00000053461	Hhipl2
ENSMUSG00000090533	Gm8214
ENSMUSG00000039384	Dusp10
ENSMUSG00000044854	1700056E22Rik
ENSMUSG00000039377	Hlx
ENSMUSG00000026621	Marc1
ENSMUSG00000073481	Marc2
ENSMUSG00000039349	C130074G19Rik
ENSMUSG00000026620	Mark1
ENSMUSG00000039318	Rab3gap2
ENSMUSG00000026618	Iars2
ENSMUSG00000026617	Bpnt1
ENSMUSG00000026615	Eprs
ENSMUSG00000026614	Slc30a10
ENSMUSG00000039246	Lyplal1
ENSMUSG00000039239	Tgfb2
ENSMUSG00000001305	Rrp15
ENSMUSG00000039224	D1Pas1
ENSMUSG00000026611	Spata17
ENSMUSG00000039210	Gpatch2
ENSMUSG00000026610	Esrrg
ENSMUSG00000026609	Ush2a
ENSMUSG00000026608	Kctd3
ENSMUSG00000037624	Kcnk2
ENSMUSG00000026605	Cenpf
ENSMUSG00000026604	Ptpn14
ENSMUSG00000026603	Smyd2
ENSMUSG00000010175	Prox1
ENSMUSG00000089872	Rps6kc1
ENSMUSG00000026634	Angel2
ENSMUSG00000037568	Vash2
ENSMUSG00000066595	Mfsd7b
ENSMUSG00000097845	A230020J21Rik
ENSMUSG00000057072	1700022P22Rik
ENSMUSG00000026632	Tatdn3
ENSMUSG00000062510	Nsl1
ENSMUSG00000026630	Batf3
ENSMUSG00000091017	Fam71a
ENSMUSG00000026628	Atf3
ENSMUSG00000037499	Nenf
ENSMUSG00000026627	Tmem206
ENSMUSG00000026626	Ppp2r5a
ENSMUSG00000037474	Dtl
ENSMUSG00000037461	Ints7
ENSMUSG00000026623	Lpgat1
ENSMUSG00000026622	Nek2
ENSMUSG00000055833	1700034H15Rik
ENSMUSG00000037434	Slc30a1
ENSMUSG00000049353	Rd3
ENSMUSG00000026637	Traf5
ENSMUSG00000037395	Rcor3
ENSMUSG00000058248	Kcnh1
ENSMUSG00000037375	Hhat
ENSMUSG00000047384	A730013G03Rik
ENSMUSG00000016262	Sertad4
ENSMUSG00000016200	Syt14
ENSMUSG00000016181	Diexf
ENSMUSG00000026638	Irf6
ENSMUSG00000079144	A130010J15Rik
ENSMUSG00000037318	Traf3ip3
ENSMUSG00000016194	Hsd11b1
ENSMUSG00000009633	G0s2
ENSMUSG00000026639	Lamb3
ENSMUSG00000016179	Camk1g
ENSMUSG00000026640	Plxna2
ENSMUSG00000016494	Cd34
ENSMUSG00000016493	Cd46
ENSMUSG00000016481	Cr1l
ENSMUSG00000026616	Cr2
ENSMUSG00000094924	Cr2
